"序号","试题内容","正确选项","A","B","C","D",""
"152","《国铁客规》规定：车站对列车移交或本站发现的无票乘车而又拒绝补票的人员应追补应收的票款。","B","对","错","","",""
"153","《国铁客规》规定：（    ），站、车均可拒绝其进站、上车。","ABC","不接受安全检查的","坚持携带禁止、限制物品的","坚持夹带禁止、限制物品的","按规定携带物品的",""
"154","《国铁客规》规定：不接受车票实名制查验的，站、车均可拒绝其进站、上车。","A","对","错","","",""
"155","《国铁客规》规定：（）等有可能危及列车安全或者其他旅客以及铁路站车工作人员人身安全的，站、车均可拒绝其进站、上车或责令其下车","ABCD","在站、车内寻衅滋事","在站、车内扰乱公共秩序","患有烈性传染病、严重精神障碍","醉酒",""
"156","《国铁客规》规定：旅客要求退票时，须在（）前办理。","ABC","车票载明的日期","车票载明的车次","车票载明的开车时间","票面发站",""
"157","《国铁客规》规定：旅客要求已办理行李托运的车票退票时，应先办理取消行李托运业务。","A","对","错","","",""
"158","《国铁客规》规定：退票核收退票费，应退票款（）退还。","A","按购票时的支付方式","现金","选择任意方式","按旅客要求",""
"159","《国铁客规》规定：退票后如需退票费报销凭证的，可在办理之日起180日以内到（）凭购票时使用的有效身份证件开具。","AB","车站售票窗口","自动售票机","网上办理","代售点",""
"160","《国铁客规》规定：（   ）不办理退票。","ABCD","车票发站开车后","开车后改签的车票","加收的票款","车补车票（因未通过或未办理学生资质核验和丢失购票时使用的有效身份证件，而办理的补票除外）",""
"161","《国铁客规》规定：车补车票不得办理退票。","B","对","错","","",""
"162","《国铁客规》规定：开车后改签的车票应在改签后的开车时间前办理退票手续。","B","对","错","","",""
"163","《国铁客规》规定：因未通过或未办理学生资质核验和丢失购票时使用的有效身份证件，而办理的补票不办理退票。","B","对","错","","",""
"164","《国铁客规》规定：旅客可在（）办理退票。","ABC","12306网站","车站售票窗口","具备退票功能的自动售票机","订票电话",""
"165","《国铁客规》规定：凭各种有效身份证件购买的车票均可在12306网站办理退票。","B","对","错","","",""
"166","《国铁客规》规定：旅客可在任意自动售票机退票，办理时应按系统提示办理。","B","对","错","","",""
"167","《国铁客规》规定：凭各种有效身份证件购买的车票均可在车站售票窗口办理退票；凭12306网站购票证件购买的车票可在12306网站办理退票。","A","对","错","","",""
"168","《国铁客规》规定：旅客使用12306网站购票证件，通过现金方式购买或已开具报销凭证的车票，可（）办理退款手续。","ABC","通过12306网站先行办理退票","自网上办理退票成功之日起180日以内","凭乘车人有效身份证件到车站指定窗口","通过12306网站办理退款",""
"169","《国铁客规》规定：在车站售票窗口办理退票时，乘车人本人办理的，（）。","A","需出具购票时所使用的有效身份证件","无需证明","需出具相关证明","需提供购票证明",""
"170","《国铁客规》规定：在车站售票窗口办理退票时，代乘车人办理的，（）。","AB","需出具代办人的有效身份证件","需出具乘车人购票时所使用的有效身份证件","需出具代理证明","不予办理",""
"171","《国铁客规》规定：旅客办理已打印报销凭证的车票退票或退款手续时，须交回报销凭证。","A","对","错","","",""
"172","《国铁客规》规定：旅客办理已打印报销凭证的车票退票或退款手续，（），铁路运输企业不办理退票或退款。","ABC","报销凭证无法交回时","报销凭证不可识别时","报销凭证不完整时","任何情况",""
"173","《国铁客规》规定：旅客旅行途中因伤、病不能继续旅行时，经站、车核实，可在下车后（）到下车站办理退票。","A","30日以内","180日以内","10日以内","5日以内",""
"174","《国铁客规》规定：旅客旅行途中因伤、病不能继续旅行时，退还（），核收退票费；同行人同样办理。","A","已收票价与已乘区间票价差额","未乘区间车票票价","未使用部分票价","未使用区间票价",""
"175","《国铁客规》规定：因铁路运输企业责任或自然灾害等其他不能正常运输情形导致旅客退票时（    ），不收退票费。","ABCD","在车票发站，退还全部票款","在中途站，退还未乘区间票款","在到站，退还车票未使用部分票款"," 列车因空调设备故障在运行过程中不能修复时，应退还未使用区间的空调费用",""
"176","《国铁客规》规定：因铁路运输企业责任或自然灾害等其他不能正常运输，在中途站，退还（）票款。","A","未乘区间","车票未使用部分","已收票价与已乘区间票价差额","已收票价与已使用区间票价差额",""
"177","《国铁客规》规定：因铁路运输企业责任或自然灾害等其他不能正常运输，在到站，退还（）票款。","B","未乘区间","车票未使用部分","已收票价与已乘区间票价差额","已收票价与已使用区间票价差额",""
"178","《国铁客规》规定：列车因空调设备故障在运行过程中不能修复时，应退还（）的空调费用。","B","未乘区间","未使用区间","已收票价与已使用区间票价差额","已收票价与已乘区间票价差额",""
"179","《国铁客规》规定： 因列车晚点导致未乘车旅客退票时，（）。","ABC","应在车票发站列车实际开车前办理","退还全部票款","不收退票费","应在车票票面开车时间前办理",""
"180","《国铁客规》规定：晚点列车晚点信息公布前已购联程车票，可一并（）。","AB","办理退票","不收退票费","不可办理退票","核收手续费",""
"181","《国铁客规》规定：因列车晚点导致旅客退票时，旅客已购联程车票，可一并办理退票，不收退票费。","A","对","错","","",""
"182","《国铁客规》规定：因列车晚点导致旅客退票时，旅客已购联程车票，分别办理联程车票退票的，按《客规》第四十五条和第四十六条相关规定处理。","A","对","错","","",""
"183","《国铁客规》规定：因列车晚点导致旅客退票时联程车票，可办理退票。","B","对","错","","",""
"184","《国铁客规》规定：因列车停运导致旅客退票时，旅客可（）办理退票手续，不收退票费。","A","自列车停运信息公布时起至车票乘车日期后30日以内","自列车停运信息公布时起至车票乘车日期后180日以内","自列车停运信息公布时起30日以内","自列车停运信息公布时起180日以内",""
"185","《国铁客规》规定：因列车停运导致旅客退票时，停运列车停运信息公布前购买的联程车票，可在联程车票开车前一并办理退票，不收退票费。","A","对","错","","",""
"186","《国铁客规》规定：因列车晚点导致未乘车旅客退票时，停运列车停运信息公布前购买的联程车票，旅客分别办理联程车票退票的，按《客规》第四十五条和第四十六条相关规定处理。","A","对","错","","",""
"187","《国铁客规》规定：必要时，铁路运输企业可以临时调整退票办法。","A","对","错","","",""
"188","《国铁客规》规定：旅客携带品（）。","ABC","由自己负责看管","旅客需妥善放置携带品","不得影响公共空间使用和安全","放置在行李架",""
